item_link,item_name,item_price
/vp/products/1609853390?itemId=2749395743&vendorItemId=70739361461,"커피빈 헤이즐넛 라떼 파우치 커피, 190ml, 10개","13,350"
/vp/products/1076965455?itemId=2027583448&vendorItemId=4678396234,"맥심 모카골드 마일드 커피믹스 220T (210T+10T), 12g, 220개","24,300"
/vp/products/186389921?itemId=537419975&vendorItemId=4403328638,"곰곰 쓰지않고 부드러운 아메리카노 다크로스트, 1g, 180개입","14,020"
/vp/products/32538272?itemId=122627897&vendorItemId=3248895685,"맥심 티오피 심플리 스무스 라떼, 240ml, 20개입","15,550"
/vp/products/14924420?itemId=61457712&vendorItemId=3122128149,"루카스나인 시그니처 라떼, 14.9g, 50개","10,750"
/vp/products/347551?itemId=340842&vendorItemId=3000249419,"네스카페 수프리모 90g, 1개","5,990"
/vp/products/1142407745?itemId=2113764192&vendorItemId=70112411824,"폴바셋 콜드브루 시그니처블렌드, 450ml, 1개","13,630"
/vp/products/1692652359?itemId=2881939781&vendorItemId=70871051865,"푸르밀 카페베네 블랙아이스 아메리카노, 1000ml, 2개","3,780"
/vp/products/200988433?itemId=161014778&vendorItemId=3379367457,"투썸플레이스 스틱 커피 다크 블렌드, 1.1g, 150개","21,500"
/vp/products/104129581?itemId=315935520&vendorItemId=3775988450,"웰던커피 더치커피 선물세트, 브라질 산토스 + 콜롬비아 슈프리모 + 에디오피아 예가체프, 1세트","16,200"
/vp/products/45491664?itemId=162581606&vendorItemId=3383823552,"투썸플레이스 에이리스트 스틱 커피 다크 블렌드, 1.1g, 30개입","6,140"
/vp/products/1301524755?itemId=2315369843&vendorItemId=70312101119,"아카페라 카라멜마끼아또, 240ml, 20개","13,880"
/vp/products/8889202?itemId=549237584&vendorItemId=4351179768,"트레핀 커피맛캔디, 500g, 2개입","9,570"
/vp/products/88929409?itemId=278017710&vendorItemId=3675570512,"프렌치카페 벨벳 비엔나 모카 컵커피, 200ml, 10개","7,830"
/vp/products/2530220?itemId=1943880&vendorItemId=3000249426,"네스카페 수프리모 아메리카노, 1.1g, 100개","9,840"
/vp/products/6916421?itemId=2685169112&vendorItemId=70675659152,"맥심 티오피 더 블랙, 275ml, 24개","20,500"
/vp/products/88929420?itemId=278017721&vendorItemId=3675570592,"프렌치카페 카라멜 마키아또 컵커피, 200ml, 10개","7,860"
/vp/products/179792561?itemId=514871849&vendorItemId=4326009888,"카누 미니 다크 로스트 아메리카노, 0.9g, 90개","14,010"
/vp/products/81357222?itemId=259427207&vendorItemId=3630387989,"동원에프엔비 소와나무 다방 커피 헤이즐넛, 250ml, 12개입","8,740"
/vp/products/256497468?itemId=805637664&vendorItemId=5046827174,"커피빈 아메리카노 파우치 커피, 230ml, 10개","11,700"
/vp/products/9931018?itemId=43945618&vendorItemId=70434775456,"맥스웰하우스 마일드 커피믹스 자판기용, 900g, 12개","46,800"
/vp/products/1570050675?itemId=2684685453&vendorItemId=70675182884,"칸타타 아이스 파우치 헤이즐넛향, 190ml, 50개","25,000"
/vp/products/129241330?itemId=380699773&vendorItemId=3922486514,"아카페라 사이즈업 카페라떼, 350ml, 4개","4,610"
/vp/products/2311228?itemId=1043455&vendorItemId=3001027675,"네스카페 마일드 커피믹스, 11g, 180개","13,950"
/vp/products/163185?itemId=60073&vendorItemId=3000025311,"프렌치카페 카페믹스 1/2칼로리, 8.85g, 100개","12,170"
/vp/products/175304810?itemId=501015915&vendorItemId=4277961117,"프렌치카페 카페 믹스, 10.9g, 160개","13,230"
