상품명,상세페이지링크,가격
"아이뮤즈 스톰북 14 노트북 (펜티엄-N3350 36cm WIN미포함 RAM 4GB 64GB), 미포함, 64GB",https://www.coupang.com/vp/products/1252047958?itemId=2251645099&vendorItemId=70249015004,207910
"LG 그램 14Z950 5세대 i5 14인치 윈도우10, 8GB, SSD256GB, 포함",https://www.coupang.com/vp/products/1204709580?itemId=2190569755&vendorItemId=70838434885,649000
"삼성전자 2020 갤럭시북 플렉스 NT950QCG-X716A (i7-1065G7 39.6cm MX250), NVMe 1TB, 16GB, WIN10 Home",https://www.coupang.com/vp/products/1665581271?itemId=2097952137&vendorItemId=70096835256,2599000
"디클 클릭북 D14u (Celeron N4100 35.8cm WIN 10 eMMC 64GB m.2 ssd128GB), 로즈골드, 유선마우스 + 패드",https://www.coupang.com/vp/products/232787159?itemId=739419043&vendorItemId=4867071353,449000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB + SSD 256GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1149803634?itemId=2123503365&vendorItemId=70122096005,479000
"HP 노트북 14s-dq1091TU (i3-1005G1 35.6cm WIN미포함), 미포함, SSD 256GB, 4GB",https://www.coupang.com/vp/products/1666932410?itemId=2840189387&vendorItemId=70829567967,459000
"HP 라이젠 노트북 네추럴실버 15s-eq0081AU (AMD 라이젠7 3700U 39.62cm IPS광시야각 Radeon Vega10 WIN미포함), 미포함, NVMe 256GB, 8GB",https://www.coupang.com/vp/products/1423337469?itemId=2462364073&vendorItemId=70455841974,609300
"레노버 노트북 V14-ARE 82DQ003AKR (R5-4500U 35.56cm WIN미포함), 미포함, NVMe 256GB, 4GB",https://www.coupang.com/vp/products/1676672325?itemId=2856499921&vendorItemId=70845799268,449000
"레노버 ideapad S540-14API METAL WIN10 노트북 81NH000YKR (라이젠 5 3500U 35.5cm), 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/250836081?itemId=791952178&vendorItemId=5009714384,678900
"레노버 Ideapad Slim3-15IIL 5W 노트북 어비스블루 81WE0031KR (i5-1035G4 39.6cm WIN10 Home), 포함, NVMe 256GB, 4GB",https://www.coupang.com/vp/products/1716826912?itemId=2922055096&vendorItemId=70910682885,699000
"주연테크 캐리북T 메탈슬림 터치 노트북 J3GP Pro (Intel Gemini Pentium Silver Quad Core N5000 33.782cm WIN10 Pro UHD Graphics 605), 포함, eMMC 64GB, 4GB",https://www.coupang.com/vp/products/1648405737?itemId=2808814534&vendorItemId=70798384730,358510
"삼성전자 갤럭시북 이온 노트북 NT950XCJ-X716A 아우라 실버 (i7-10510U 39.6cm MX 250), NVMe 1TB, 16GB, WIN10 Home",https://www.coupang.com/vp/products/1665436216?itemId=2097917436&vendorItemId=70096804409,2219360
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB + SSD 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1149803634?itemId=2236151554&vendorItemId=70233671767,501970
"에이수스 젠북 스크린패드 (10세대 코어i7-10510U WIN10) 로얄 블루, 39.62cm, NVIDIA GeForce GTX1650 MAX Q",https://www.coupang.com/vp/products/1067332065?itemId=2014333264&vendorItemId=70014106235,1614210
"LG전자 2020 그램 2in1 노트북 14TD90N-VX30K (i3-10110U 35.5cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1163770789?itemId=2158416327&vendorItemId=70156639683,1290900
"HP 스펙터 x360 컨버터블 13-aw0215TU 노트북 (i7-1065G7 33.78cm WIN10), 포함, SSD 1TB, 16GB",https://www.coupang.com/vp/products/1150176300?itemId=2124027903&vendorItemId=70122608049,2269000
"삼성전자 Flash 노트북 NT530XBB-K24WS 화이트 (펜티엄 실버 N5000 33.7cm), SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1431681975?itemId=2370841286&vendorItemId=70366810908,679000
"MSI 게이밍 노트북 GS75 Stealth 9SD (9세대 i7-9750H 43.94cm WIN미포함 GTX1660Ti 6GB), 미포함, NVMe 512GB, 16GB",https://www.coupang.com/vp/products/1654149577?itemId=2818194788&vendorItemId=70807700037,1599000
"HP 파빌리온 13-an1009TU (i5-1035G1 33.78cm WIN미포함 DDR4 8G SSD256GB), 트랜퀼 핑크",https://www.coupang.com/vp/products/323887992?itemId=1037021220&vendorItemId=5491331274,689000
"MSI 게이밍 노트북 GS65 Stealth 9SD (i7-9750H 39.6cm WIN미포함 GTX 1660 Ti), 미포함, NVMe 512GB, 16GB",https://www.coupang.com/vp/products/1654067446?itemId=2818059804&vendorItemId=70807554168,1650000
"LG전자 울트라 PC 노트북 15U70N-GR56K 다크실버 (i5-10210U 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1235704358?itemId=2253862923&vendorItemId=70251212343,1074800
"LG전자 2020 그램17 노트북 17ZD90N-VX70K 스노우 화이트 (i7-1065G7 43.1cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1665031215?itemId=2057670048&vendorItemId=70056945091,1647450
"이그닉 바이북 14X 2020 기본형 IG-BYB14102-A (Intel Pentium Silver N500 Gemini Lake 35.8cm WIN 미포함 Intel UHD Graphics 605), SSD 256GB, 8GB",https://www.coupang.com/vp/products/1297079473?itemId=2309941678&vendorItemId=70306761982,401700
"LG전자 2020 그램15 노트북 15Z995-VR50K (i5-10210U 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1235351470?itemId=2229827753&vendorItemId=70227443130,1439260
"에이수스 비보북 15 라이젠 노트북 R564DA (R7-3700U 8GB SSD 512GB 39.6cm 라데온 Vega 10 Win10 Home), 실버, R7-3700U",https://www.coupang.com/vp/products/1473554098?itemId=2532637339&vendorItemId=70525387512,799000
"삼성전자 갤럭시북 이온 노트북 NT950XCR-A58A 아우라 실버 (i5-10210U 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1130284847?itemId=2098033858&vendorItemId=70096918971,1649000
"에이서 Aspire 1 노트북 A111-31 (Intel Celeron N4000 29.4cm WIN10 Home), 포함, eMMC 32GB, 2GB",https://www.coupang.com/vp/products/1235605026?itemId=2230136554&vendorItemId=70227741853,259000
"삼성전자 노트북 Plus NT550XCJ-K34WA 퓨어 화이트 (i3-10110U 39.6cm), NVMe 256GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1548410295?itemId=2650310203&vendorItemId=70641158620,849000
"삼성전자 2019 노트북 5 NT550EBV-AD5BA (i5-8265U 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/319918824?itemId=2257698765&vendorItemId=70255009921,1073000
"LG전자 2020 그램15 노트북 15ZD90N-VX50K (i5-1035G7 39.6cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1098796628?itemId=2058097243&vendorItemId=70057366288,1400200
"에이수스 비보북 노트북 R424DA-EB446 (쿼드코어 R5-3500U 35.56cm WIN미포함 Vega 8), 미포함, SSD NVME 512GB, 8GB",https://www.coupang.com/vp/products/1518928382?itemId=2606469274&vendorItemId=70597592908,598920
"에이수스 ExpertBook 노트북 그레이 B9450FA-BM0426T (i5-10210U 35.56cm WIN10 Home RAM 8GB NVMe 512GB), 포함, NVMe 512GB",https://www.coupang.com/vp/products/1609067131?itemId=2748173197&vendorItemId=70738148517,1429000
"삼성전자 갤럭시북 이온 노트북 NT950XCR-A38A 아우라 실버 (i3-10110U 39.6cm), NVMe 256GB + NVMe 256GB, 8GB + 8GB, WIN10 Home",https://www.coupang.com/vp/products/1432356309?itemId=2098720279&vendorItemId=70097614738,1521000
"삼성전자 갤럭시북 플렉스 알파 노트북 NT750QCR-A38A (i3-10110U 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1557693175?itemId=2663647653&vendorItemId=70654232779,1559000
"중고노트북 10만원대 삼성 LG HP 등, 단일색상, [A] 레노버EDGE",https://www.coupang.com/vp/products/239931872?itemId=763309847&vendorItemId=4892271053,109000
"에이수스 젠북 듀오 스크린패드플러스 UX481FL-BM062T (인텔 코어i5-10210U 35.56cm WIN10), 포함, 512GB, 16GB",https://www.coupang.com/vp/products/1067332034?itemId=2014333241&vendorItemId=70014106146,1424050
"이태원클라쓰북 그램스타일 노트북 풀패키지미개봉 8세대 13.3IPS FHD 윈10탑재, 그레이, NB133LTN40 [SDD256G+32G]",https://www.coupang.com/vp/products/322895378?itemId=1034232763&vendorItemId=5485152332,379000
"삼성전자 갤럭시북 플렉스 알파 노트북 NT750QCJ-K58A (i5-10210U 39.6cm WIN10 Home), 포함, NVMe 256GB, 8GB",https://www.coupang.com/vp/products/1666787967?itemId=2704126436&vendorItemId=70653197692,1769000
"레노버 Ideapad 노트북 Platinum Grey Glossy S145-14IWL (펜티엄 골드 5405U 35.56cm WIN10 S), 포함, SSD 128GB, 4GB",https://www.coupang.com/vp/products/1748961186?itemId=2978515434&vendorItemId=70966887955,349000
"MSI GP75 레오파드 10SEK 노트북 (10세대 i7-10750H 43.9cm WIN미포함 RTX 2060 6GB), 미포함, NVMe 512GB, 8GB",https://www.coupang.com/vp/products/1624029713?itemId=2771005031&vendorItemId=70760832853,1669000
"삼성전자 노트북 Plus NT550XCR-AD5A 퓨어 화이트 (i5-10210U 39.6cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1460144584?itemId=2512333880&vendorItemId=70505363314,1119000
"MSI 프레스티지 A10SC 노트북 (10세대 i7-10710U 39cm WIN미포함 GTX 1650 4GB), 미포함, NVMe 256GB, 8GB",https://www.coupang.com/vp/products/1624022895?itemId=2770993849&vendorItemId=70760832930,1387140
"HP 노트북 14s-dq1002TU (i3-1005G1 35.6cm WIN미포함 Intel UHD), 미포함, SSD 128GB, 4GB",https://www.coupang.com/vp/products/1637522480?itemId=2792739892&vendorItemId=70782432013,426830
"삼성전자 갤럭시 북 플렉스 알파 노트북 NT730QCJ-K38A (i3-10110U 33.7cm), NVMe 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/1556993318?itemId=2662612226&vendorItemId=70653210066,1548000
