discount_rate,link,original_price,sales_price,title
37.0%,http://item.gmarket.co.kr/Item?goodscode=1791746014&ver=637304507397510461,23600,14900,[유한킴벌리] 크리넥스 펭수뽑아쓰는키친타월 140매X4입X2팩 
discount_rate,link,original_price,sales_price,title
20.0%,http://item.gmarket.co.kr/Item?goodscode=1831777734&ver=637304901323611511,36200,28900,NEW 신제품 얇은피 교자만두 8봉 골라담기+증정 
70.0%,http://item.gmarket.co.kr/Item?goodscode=787562120&ver=637304901323611511,23000,6900,글램공감/브라1+팬티2/속옷세트/빅사이즈/여성속옷 
70.0%,http://item.gmarket.co.kr/Item?goodscode=1688200696&ver=637304901323611511,23000,6900,12%쿠폰 여름신상 루즈핏  블라우스/원피스 
59.0%,http://item.gmarket.co.kr/Item?goodscode=1289612216&ver=637304901323611511,29000,11900,[카파] Kappa 남녀 반팔티셔츠/긴팔티/잡화 균일특가 11900원 
37.0%,http://item.gmarket.co.kr/Item?goodscode=1694939546&ver=637304901323611511,33300,20900,유황먹인 생오리 슬라이스 200g 10팩 
70.0%,http://item.gmarket.co.kr/Item?goodscode=627247117&ver=637304901323611511,19600,5900,더다다 여름신상 빅사이즈 롱티셔츠/셔츠/원피스 
1.0%,http://item.gmarket.co.kr/Item?goodscode=1839215964&ver=637304901323611511,68000,67000,롯데시네마     일반관람권 8매 + 스위트콤보권 4매 
0.0%,http://item.gmarket.co.kr/Item?goodscode=1738831314&ver=637304901323611511,20900,20900,(주)아이티씨  I헬로키티I 핑크리본 화장지(4겹 20m) 30롤 2팩 
10.0%,http://item.gmarket.co.kr/Item?goodscode=1841571987&ver=637304901323611511,21900,19710,[푸마] (현대Hmall)푸마 노와이어 브라팬티 2종+ 랜덤브라팬티 2종 4style 택 일 
69.0%,http://item.gmarket.co.kr/Item?goodscode=1578494240&ver=637304901323611511,8000,2500,Medi-k Kids 유아 치실  80p 국내생산 
discount_rate,link,original_price,sales_price,title
70.0,http://item.gmarket.co.kr/Item?goodscode=1848545421&ver=637315562093391660,26000,7900,1+1 2장세트 U-back 백오픈 노와이어 브라탑 브라렛 
70.0,http://item.gmarket.co.kr/Item?goodscode=1373777190&ver=637315562093391660,26300,7900,쉬블림로브 시즌오프 7900균일 블라우스 셔츠 원피스 
66.0,http://item.gmarket.co.kr/Item?goodscode=1497316495&ver=637315562093391660,70000,23600,[깨끗한나라] 순수브라운 3겹 화장지 27m 30롤 2팩 (특가) 
10.0,http://item.gmarket.co.kr/Item?goodscode=1846373203&ver=637315562093391660,11150,10000,바닥청소 극세사 청소 슬리퍼 1+1 외 50종 +사은품 
30.0,http://item.gmarket.co.kr/Item?goodscode=1502793298&ver=637315562093391660,21300,14900,2봉/산동고기왕만두1.4kg+김치왕만두1.4kg/만두 간식 
30.0,http://item.gmarket.co.kr/Item?goodscode=1553361567&ver=637315562093391660,16500,11500,[미스타셰프] 미스타셰프 버섯뚝배기불고기 4팩/간편/뚝불/증정 
70.0,http://item.gmarket.co.kr/Item?goodscode=1725467202&ver=637315562093391660,19600,5900,루나샵 전상품균일가 5900원 티셔츠/박스티/원피스 
40.0,http://item.gmarket.co.kr/Item?goodscode=1222652300&ver=637315562093391660,26500,15900,[유동] 자연산골뱅이 300g x3개 
33.0,http://item.gmarket.co.kr/Item?goodscode=1841464639&ver=637315562093391660,14850,9900,초당 옥수수 10개입(17cm이상)/농협 
0.0,http://item.gmarket.co.kr/Item?goodscode=1687057776&ver=637315562093391660,28900,28900,(etv)목우촌 무항생제 훈제오리 200gX10팩 (총 2kg) 
discount_rate,link,original_price,sales_price,title
70.0,http://item.gmarket.co.kr/Item?goodscode=1373777190&ver=637315562579385864,26300,7900,쉬블림로브 시즌오프 7900균일 블라우스 셔츠 원피스 
40.0,http://item.gmarket.co.kr/Item?goodscode=1222652300&ver=637315562579385864,26500,15900,[유동] 자연산골뱅이 300g x3개 
70.0,http://item.gmarket.co.kr/Item?goodscode=1725467202&ver=637315562579385864,19600,5900,루나샵 전상품균일가 5900원 티셔츠/박스티/원피스 
30.0,http://item.gmarket.co.kr/Item?goodscode=1502793298&ver=637315562579385864,21300,14900,2봉/산동고기왕만두1.4kg+김치왕만두1.4kg/만두 간식 
